SKU,SPH,CYL,当前库存
0.00/0.00,0.00,0.00,152
0.00/-0.25,0.00,-0.25,9
0.00/-0.50,0.00,-0.50,36
0.00/-0.75,0.00,-0.75,24
0.00/-1.00,0.00,-1.00,22
0.00/-1.25,0.00,-1.25,3
0.00/-1.50,0.00,-1.50,2
0.00/-1.75,0.00,-1.75,1
0.00/-2.00,0.00,-2.00,4
-0.25/0.00,-0.25,0.00,43
-0.25/-0.25,-0.25,-0.25,10
-0.25/-0.50,-0.25,-0.50,20
-0.25/-0.75,-0.25,-0.75,14
-0.25/-1.00,-0.25,-1.00,13
-0.25/-1.25,-0.25,-1.25,3
-0.25/-1.50,-0.25,-1.50,3
-0.25/-1.75,-0.25,-1.75,3
-0.25/-2.00,-0.25,-2.00,4
-0.50/0.00,-0.50,0.00,70
-0.50/-0.25,-0.50,-0.25,6
-0.50/-0.50,-0.50,-0.50,46
-0.50/-0.75,-0.50,-0.75,21
-0.50/-1.00,-0.50,-1.00,11
-0.50/-1.25,-0.50,-1.25,3
-0.50/-1.50,-0.50,-1.50,2
-0.50/-1.75,-0.50,-1.75,4
-0.50/-2.00,-0.50,-2.00,3
-0.75/0.00,-0.75,0.00,92
-0.75/-0.25,-0.75,-0.25,6
-0.75/-0.50,-0.75,-0.50,55
-0.75/-0.75,-0.75,-0.75,28
-0.75/-1.00,-0.75,-1.00,15
-0.75/-1.25,-0.75,-1.25,3
-0.75/-1.50,-0.75,-1.50,2
-0.75/-1.75,-0.75,-1.75,4
-0.75/-2.00,-0.75,-2.00,4
-1.00/0.00,-1.00,0.00,110
-1.00/-0.25,-1.00,-0.25,13
-1.00/-0.50,-1.00,-0.50,74
-1.00/-0.75,-1.00,-0.75,44
-1.00/-1.00,-1.00,-1.00,18
-1.00/-1.25,-1.00,-1.25,1
-1.00/-1.50,-1.00,-1.50,1
-1.00/-1.75,-1.00,-1.75,3
-1.00/-2.00,-1.00,-2.00,4
-1.25/0.00,-1.25,0.00,116
-1.25/-0.25,-1.25,-0.25,15
